"Species","code","Impact_year","Type_of_cost_merged","Management_type","Genus","Cost_ID","Cost.USD","First_invacost","First_manage_invacost"
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3242",6170,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3236",4800178,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3241",12400,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3243",3530,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3235",1033320,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3240",56110,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3237",3685500,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3239",77260,2007,1977
"Aedes aegypti","ARG",2016,"Damage_costs",NA,"Aedes","NE3238",212277,2007,1977
"Aedes aegypti","BLZ",2007,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2000,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2005,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2002,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2001,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2006,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2004,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BLZ",2003,"Damage_costs",NA,"Aedes","2275",814439.261086367,1995,1977
"Aedes aegypti","BOL",2000,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2004,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2005,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2001,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2006,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2003,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2007,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BOL",2002,"Damage_costs",NA,"Aedes","2277",43592592.6645649,1995,1977
"Aedes aegypti","BRA",2006,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2009,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2015,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2009,"Damage_costs",NA,"Aedes","2381",1418928.77,2000,1977
"Aedes aegypti","BRA",2004,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2007,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2011,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2006,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2010,"Damage_costs",NA,"Aedes","2381",1418928.77,2000,1977
"Aedes aegypti","BRA",2000,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2010,"Damage_costs",NA,"Aedes","2376",9363890.33558606,2000,1977
"Aedes aegypti","BRA",2012,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2001,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2008,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2008,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2014,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2010,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2011,"Damage_costs",NA,"Aedes","2381",1418928.77,2000,1977
"Aedes aegypti","BRA",2005,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2002,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2017,"Damage_costs",NA,"Aedes","NE4535",126158445.853076,2000,1977
"Aedes aegypti","BRA",2000,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2007,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2011,"Damage_costs",NA,"Aedes","2370",130833.307066554,2000,1977
"Aedes aegypti","BRA",2003,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2004,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2017,"Damage_costs",NA,"Aedes","NE4534",109384525.980724,2000,1977
"Aedes aegypti","BRA",2012,"Damage_costs",NA,"Aedes","2381",1418928.77,2000,1977
"Aedes aegypti","BRA",2013,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2002,"Damage_costs",NA,"Aedes","2393",10675000,2000,1977
"Aedes aegypti","BRA",2005,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2013,"Damage_costs",NA,"Aedes","2381",1418928.77,2000,1977
"Aedes aegypti","BRA",2003,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRA",2001,"Damage_costs",NA,"Aedes","2380",386133.56,2000,1977
"Aedes aegypti","BRN",2009,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2010,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2004,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2001,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2006,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
"Aedes aegypti","BRN",2008,"Damage_costs",NA,"Aedes","2215",669205.043132053,2001,1977
