"Genus","Species","Impact_year","Type_of_cost_merged","Management_type","code","Cost_ID","Cost.USD","First_invacost","First_manage","First_manage_invacost"
"Aedes","Aedes aegypti",2015,"Management","Post-invasion management","BRA","2348",48747441.0757196,1922,1984,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management",NA,"2286",36189784.5044298,1922,NA,1977
"Aedes","Aedes aegypti",1998,"Management","Post-invasion management","VNM","2360",12692.0670115337,1922,1998,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","IND","2398",9931303.76900318,1922,2003,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","KHM","2344",712671.983358227,1922,2001,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","PAN","2316",2081492.33840097,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","PRY","2320",297585.844361808,1922,1995,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","KHM","2374",671251.457633089,1922,2001,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","SGP","2406",54485749.8508858,1922,1977,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","ECU","2302",1664040.52450236,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","NIC","2313",804286.065842724,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","GTM","2306",3378001.47653944,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","PER","2322",1930286.55802254,1922,1995,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","URY","2329",16085.7213168545,1922,1995,1977
"Aedes","Aedes aegypti",2015,"Management","Post-invasion management","ECU","NE3063",95000,1922,1995,1977
"Aedes","Aedes aegypti",1999,"Management","Post-invasion management","VNM","2360",12692.0670115337,1922,1998,1977
"Aedes","Aedes aegypti",2003,"Management","Post-invasion management","THA","2257",49730872.9505411,1922,1981,1977
"Aedes","Aedes aegypti",1995,"Management","Post-invasion management","CHL","2288",19302.8655802254,1922,1995,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","USA","2345",9106903.28229997,1922,1977,1977
"Aedes","Aedes aegypti",2014,"Management","Post-invasion management","ECU","NE3063",95000,1922,1995,1977
"Aedes","Aedes aegypti",1977,"Management","Post-invasion management","USA","2407",4912637.28103949,1922,1977,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","CUB","NE3066",15654780.3818986,1922,1981,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","KHM","2344",712671.983358227,1922,2001,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","KHM","2374",671251.457633089,1922,2001,1977
"Aedes","Aedes aegypti",2002,"Management","Post-invasion management","MYS","2233",17442839.0085708,1922,2002,1977
