"Genus","Time.since.introduction","Cost.USD"
"Aedes",0,9489.97592085195
"Aedes",1,9489.97592085195
"Aedes",2,9489.97592085195
"Aedes",3,9489.97592085195
"Aedes",4,9489.97592085195
"Aedes",5,9489.97592085195
"Aedes",6,9489.97592085195
"Aedes",7,9489.97592085195
"Aedes",8,9489.97592085195
"Aedes",9,9489.97592085195
"Aedes",10,9489.97592085195
"Aedes",11,9489.97592085195
"Aedes",12,9489.97592085195
"Aedes",13,9489.97592085195
"Aedes",14,9489.97592085195
"Aedes",15,9489.97592085195
"Aedes",16,9489.97592085195
"Aedes",17,9489.97592085195
"Aedes",18,9489.97592085195
"Aedes",19,9489.97592085195
"Aedes",20,9489.97592085195
"Aedes",21,9489.97592085195
"Aedes",22,9489.97592085195
"Aedes",23,9489.97592085195
"Aedes",24,9489.97592085195
"Aedes",25,9489.97592085195
"Aedes",26,9489.97592085195
"Aedes",27,9489.97592085195
"Aedes",28,9489.97592085195
"Aedes",29,9489.97592085195
"Aedes",30,9489.97592085195
"Aedes",31,9489.97592085195
"Aedes",32,9489.97592085195
"Aedes",33,9489.97592085195
"Aedes",34,9489.97592085195
"Aedes",35,9489.97592085195
"Aedes",36,9489.97592085195
"Aedes",37,9489.97592085195
"Aedes",38,9489.97592085195
"Aedes",39,9489.97592085195
"Aedes",40,9489.97592085195
"Aedes",41,9489.97592085195
"Aedes",42,9489.97592085195
"Aedes",43,9489.97592085195
"Aedes",44,9489.97592085195
"Aedes",45,9489.97592085195
"Aedes",46,9489.97592085195
"Aedes",47,9489.97592085195
"Aedes",48,9489.97592085195
"Aedes",49,9489.97592085195
"Aedes",50,9489.97592085195
"Aedes",51,9489.97592085195
"Aedes",52,9489.97592085195
"Aedes",53,9489.97592085195
"Aedes",54,9489.97592085195
"Aedes",55,38724921.9445447
"Aedes",56,9489.97592085195
"Aedes",57,9489.97592085195
"Aedes",58,9489.97592085195
"Aedes",59,180930447.959352
"Aedes",60,9489.97592085195
"Aedes",61,9489.97592085195
"Aedes",62,9489.97592085195
"Aedes",63,9489.97592085195
"Aedes",64,9489.97592085195
"Aedes",65,9489.97592085195
"Aedes",66,9489.97592085195
"Aedes",67,9489.97592085195
"Aedes",68,21684.2022745736
"Aedes",69,9489.97592085195
"Aedes",70,9489.97592085195
"Aedes",71,9489.97592085195
"Aedes",72,12782002.1286167
"Aedes",73,9489.97592085195
"Aedes",74,14422390.9057148
"Aedes",75,21187518.2032258
"Aedes",76,15398028.8875956
"Aedes",77,15566401.2032202
"Aedes",78,2230033879.31259
"Aedes",79,3358135300.73682
"Aedes",80,3548502587.24318
"Aedes",81,3640363911.36463
"Aedes",82,3640066047.94823
"Aedes",83,3671123013.81132
"Aedes",84,4595874663.46559
"Aedes",85,4606322130.81859
"Aedes",86,2419348370.92162
"Aedes",87,2390471684.52423
"Aedes",88,3385523407.42213
"Aedes",89,2361060760.79955
"Aedes",90,2319347933.17141
"Aedes",91,514506343.606913
"Aedes",92,101554217.13664
"Aedes",93,134938020.973951
"Aedes",94,271930304.095968
"Aedes",95,235542971.8338
