"Genus","code","Time.since.introduction","Cost.USD","Management.delay"
"Aedes","MYS","84","134654366.328205","80"
"Aedes","PRY","81","2522877.38073318","73"
"Aedes","PER","80","132916340.065661","73"
"Aedes","MYS","84","149507371.21207","80"
"Aedes","MMR","84","15231780.1955654","55"
"Aedes","USA","81","20573081.5494169","55"
"Aedes","VEN","76","103399.387432647","85"
"Aedes","PHL","80","85049016.4014476","91"
"Aedes","THA","80","127879387.587106","59"
"Aedes","VEN","81","24642.4963093999","85"
"Aedes","SGP","81","41736084.3857785","55"
"Aedes","ARG","94","56110","73"
"Aedes","TLS","80","381951.934995181","55"
"Aedes","ARG","94","77260","73"
"Aedes","MYS","80","134654366.328205","80"
"Aedes","CHN","77","489020.414020624","55"
"Aedes","URY","80","1486796.52946905","73"
"Aedes","MYS","81","134654366.328205","80"
"Aedes","SGP","84","70592714.376933","55"
"Aedes","THA","80","151755602.358116","59"
"Aedes","THA","80","1290.95912598685","59"
"Aedes","THA","80","305170126.178464","59"
"Aedes","PHL","81","85049016.4014476","91"
"Aedes","VEN","75","100746.057582806","85"
"Aedes","CHN","76","489020.414020624","55"
"Aedes","THA","76","1290.95912598685","59"
"Aedes","USA","80","20573081.5494169","55"
"Aedes","PER","84","132916340.065661","73"
"Aedes","HND","78","19972885.8812854","73"
"Aedes","USA","81","20786606.0076361","55"
"Aedes","SGP","84","41736084.3857785","55"
"Aedes","SGP","80","41736084.3857785","55"
"Aedes","SUR","80","1461965.26330133","55"
"Aedes","THA","77","1290.95912598685","59"
"Aedes","BRA","79","10675000","62"
"Aedes","VEN","75","6430216.35398715","85"
"Aedes","MYS","83","149507371.21207","80"
"Aedes","BLZ","78","814439.261086367","73"
"Aedes","BOL","78","43592592.6645649","73"
"Aedes","IDN","80","340035077.600131","89"
"Aedes","VEN","76","147762.335360539","85"
"Aedes","LAO","80","5358901.39099299","55"
"Aedes","PRY","84","2522877.38073318","73"
"Aedes","PRY","80","2522877.38073318","73"
"Aedes","ECU","78","65747113.8342653","73"
"Aedes","MYS","81","149507371.21207","80"
"Aedes","SUR","84","1461965.26330133","55"
"Aedes","NIC","74","14412900.9297939","73"
"Aedes","ARG","94","212277","73"
"Aedes","URY","84","1486796.52946905","73"
"Aedes","BRA","78","386133.56","62"
"Aedes","BRA","78","10675000","62"
"Aedes","CAN","78","693753.521315354","55"
"Aedes","MMR","80","15231780.1955654","55"
"Aedes","CHN","78","489020.414020624","55"
"Aedes","FRA","78","2218846.14329975","86"
"Aedes","VEN","81","39056.0341492867","85"
"Aedes","USA","32","9489.97592085195","55"
"Aedes","BRN","79","669205.043132053","55"
"Aedes","BTN","79","310401.710257792","55"
"Aedes","USA","35","9489.97592085195","55"
"Aedes","USA","36","9489.97592085195","55"
"Aedes","USA","37","9489.97592085195","55"
"Aedes","USA","38","9489.97592085195","55"
"Aedes","PHL","84","85049016.4014476","91"
"Aedes","USA","40","9489.97592085195","55"
"Aedes","MYS","80","149507371.21207","80"
"Aedes","PRY","93","2975643.17066436","73"
"Aedes","SGP","80","70592714.376933","55"
"Aedes","ARG","94","1033320","73"
"Aedes","ARG","94","4800178","73"
"Aedes","ARG","94","3685500","73"
"Aedes","VEN","77","253594.076972986","85"
"Aedes","MYS","83","134654366.328205","80"
"Aedes","PER","83","132916340.065661","73"
"Aedes","ARG","94","12400","73"
"Aedes","ARG","94","6170","73"
"Aedes","USA","39","9489.97592085195","55"
"Aedes","CHL","78","7067815.98882335","73"
"Aedes","USA","80","20786606.0076361","55"
"Aedes","VEN","80","137843.397987028","85"
"Aedes","VEN","80","242244.267594951","85"
"Aedes","GTM","78","38016876.2719143","73"
"Aedes","PER","78","132916340.065661","73"
"Aedes","THA","84","305170126.178464","59"
"Aedes","VNM","81","24677462.0700881","76"
"Aedes","TLS","84","381951.934995181","55"
"Aedes","ARG","94","3530","73"
"Aedes","BOL","85","43592592.6645649","73"
"Aedes","BRA","82","10675000","62"
"Aedes","USA","33","9489.97592085195","55"
"Aedes","USA","34","9489.97592085195","55"
"Aedes","CAN","82","693753.521315354","55"
"Aedes","CAN","79","693753.521315354","55"
"Aedes","CHL","79","7067815.98882335","73"
"Aedes","CHN","79","489020.414020624","55"
"Aedes","ECU","79","65747113.8342653","73"
"Aedes","FRA","79","2218846.14329975","86"
"Aedes","USA","41","9489.97592085195","55"
"Aedes","USA","42","9489.97592085195","55"
"Aedes","USA","44","9489.97592085195","55"
"Aedes","MMR","81","15231780.1955654","55"
"Aedes","VEN","77","165939.961444795","85"
"Aedes","PER","79","132916340.065661","73"
"Aedes","VEN","75","234164.885941053","85"
"Aedes","NIC","76","14412900.9297939","73"
"Aedes","VEN","76","234164.885941053","85"
"Aedes","NIC","77","14412900.9297939","73"
"Aedes","VEN","77","234164.885941053","85"
"Aedes","ARG","78","17208457.6961482","73"
"Aedes","BRA","78","956987710.380959","62"
"Aedes","COL","78","208002021.764501","73"
"Aedes","CRI","78","12400317.5618373","73"
"Aedes","TLS","81","381951.934995181","55"
"Aedes","MEX","78","321737991.353806","73"
"Aedes","NIC","78","15750763.015023","73"
"Aedes","VEN","79","325922.294173571","85"
"Aedes","PAN","78","9651580.71690245","73"
"Aedes","SLV","78","17638005.5828938","73"
"Aedes","USA","78","6355211.07368289","55"
"Aedes","BLZ","82","814439.261086367","73"
"Aedes","USA","29","9489.97592085195","55"
"Aedes","USA","30","9489.97592085195","55"
"Aedes","USA","31","9489.97592085195","55"
"Aedes","CAN","80","693753.521315354","55"
"Aedes","BRN","82","669205.043132053","55"
"Aedes","BTN","82","310401.710257792","55"
"Aedes","ECU","80","65747113.8342653","73"
"Aedes","FRA","80","2218846.14329975","86"
"Aedes","GTM","80","38016876.2719143","73"
"Aedes","FRA","92","6055373.43423932","86"
"Aedes","KHM","80","17403539.9581826","79"
"Aedes","PHL","92","2348992.53008418","91"
