"Genus","code","Time.since.introduction","Cost.USD","Management.delay"
"Aedes","ARG","36","3685500","15"
"Aedes","ARG","36","3530","15"
"Aedes","ARG","36","77260","15"
"Aedes","ARG","36","56110","15"
"Aedes","ARG","36","212277","15"
"Aedes","ARG","36","4800178","15"
"Aedes","ARG","36","6170","15"
"Aedes","ARG","36","1033320","15"
"Aedes","ARG","36","12400","15"
"Aedes","BLZ","9","814439.261086367","-18"
"Aedes","BLZ","12","814439.261086367","-18"
"Aedes","BLZ","10","814439.261086367","-18"
"Aedes","BLZ","7","814439.261086367","-18"
"Aedes","BLZ","8","814439.261086367","-18"
"Aedes","BLZ","5","814439.261086367","-18"
"Aedes","BLZ","11","814439.261086367","-18"
"Aedes","BLZ","6","814439.261086367","-18"
"Aedes","BOL","7","43592592.6645649","-18"
"Aedes","BOL","10","43592592.6645649","-18"
"Aedes","BOL","11","43592592.6645649","-18"
"Aedes","BOL","8","43592592.6645649","-18"
"Aedes","BOL","5","43592592.6645649","-18"
"Aedes","BOL","12","43592592.6645649","-18"
"Aedes","BOL","9","43592592.6645649","-18"
"Aedes","BOL","6","43592592.6645649","-18"
"Aedes","BRA","13","1418928.77","-12"
"Aedes","BRA","12","10675000","-12"
"Aedes","BRA","19","10675000","-12"
"Aedes","BRA","15","10675000","-12"
"Aedes","BRA","17","10675000","-12"
"Aedes","BRA","21","126158445.853076","-12"
"Aedes","BRA","11","386133.56","-12"
"Aedes","BRA","8","10675000","-12"
"Aedes","BRA","5","10675000","-12"
"Aedes","BRA","18","10675000","-12"
"Aedes","BRA","6","10675000","-12"
"Aedes","BRA","12","386133.56","-12"
"Aedes","BRA","21","109384525.980724","-12"
"Aedes","BRA","9","386133.56","-12"
"Aedes","BRA","9","10675000","-12"
"Aedes","BRA","11","10675000","-12"
"Aedes","BRA","10","10675000","-12"
"Aedes","BRA","7","10675000","-12"
"Aedes","BRA","15","130833.307066554","-12"
"Aedes","BRA","6","386133.56","-12"
"Aedes","BRA","13","10675000","-12"
"Aedes","BRA","8","386133.56","-12"
"Aedes","BRA","10","386133.56","-12"
"Aedes","BRA","7","386133.56","-12"
"Aedes","BRA","17","1418928.77","-12"
"Aedes","BRA","14","9363890.33558606","-12"
"Aedes","BRA","14","1418928.77","-12"
"Aedes","BRA","16","10675000","-12"
"Aedes","BRA","5","386133.56","-12"
"Aedes","BRA","15","1418928.77","-12"
"Aedes","BRA","4","386133.56","-12"
"Aedes","BRA","14","10675000","-12"
"Aedes","BRA","16","1418928.77","-12"
"Aedes","BRA","4","10675000","-12"
"Aedes","CHN","16","489020.414020624","-21"
"Aedes","CHN","6","489020.414020624","-21"
